,age,note_rate,wam,coupon,agency,curr_bal,maturity_date,term
3140X6NA5,48.0,4.778,304.0,4.0,UMBS,419670526.3,2049-03-01,352.0
3140X6KU4,45.0,4.414,308.0,3.5,UMBS,275687404.7,2050-04-01,353.0
3140X6CD1,118.0,2.985,56.0,2.5,UMBS,119137525.1,2031-08-01,174.0
3140X6C58,31.0,3.487,323.0,2.5,UMBS,1591368452.0,2050-04-01,354.0
3140X6BM2,64.0,3.56,109.0,3.0,UMBS,101987106.2,2034-02-01,173.0
3140X62A8,28.0,3.025,323.0,2.0,UMBS,83171476.69,2050-06-01,351.0
3140X5X32,54.0,5.125,300.0,4.5,UMBS,337671458.2,2049-01-01,354.0
3140X5WF6,34.0,3.9,322.0,3.0,UMBS,394225384.8,2050-02-01,356.0
3140X5SA2,53.0,4.612,299.0,4.0,UMBS,1074631779.0,2049-01-01,352.0
3140X5R96,126.0,4.571,217.0,4.0,UMBS,196303834.9,2044-10-01,343.0
3140X5R88,67.0,3.622,283.0,3.0,UMBS,975860957.1,2048-01-01,350.0
3140X5R70,64.0,4.058,286.0,3.5,UMBS,4193015649.0,2049-03-01,350.0
3140X5KT9,114.0,3.498,60.0,3.0,UMBS,246761551.4,2030-10-01,174.0
3140X5KS1,116.0,2.987,58.0,2.5,UMBS,322014189.9,2029-02-01,174.0
3140X5KR3,65.0,2.968,108.0,2.5,UMBS,640130313.2,2033-02-01,173.0
3140X5KQ5,65.0,3.429,108.0,3.0,UMBS,2641923192.0,2033-06-01,173.0
3140X5JR5,116.0,4.002,228.0,3.5,UMBS,904295786.9,2044-03-01,344.0
3140X5JQ7,117.0,3.595,226.0,3.0,UMBS,812756552.6,2043-09-01,343.0
3140X5JB0,36.0,3.193,138.0,2.5,UMBS,189332542.9,2034-12-01,174.0
3140X5EB5,62.0,4.99,292.0,4.5,UMBS,446811472.0,2048-07-01,354.0
3140X5EA7,65.0,4.498,287.0,4.0,UMBS,3250722221.0,2048-02-01,352.0
3140X5DZ3,117.0,3.642,230.0,3.0,UMBS,542792954.8,2043-09-01,347.0
3140X5D91,76.0,4.549,276.0,4.0,UMBS,1616339065.0,2047-06-01,352.0
3140X5D83,119.0,4.009,227.0,3.5,UMBS,1954091044.0,2044-04-01,346.0
3140X5D75,119.0,4.505,227.0,4.0,UMBS,522127042.5,2044-10-01,346.0
3140X5CD3,36.0,3.715,315.0,3.0,UMBS,118789701.8,2049-11-01,351.0
3140X5CC5,50.0,4.733,302.0,4.0,UMBS,256721565.3,2048-12-01,352.0
3140X57M9,33.0,3.864,322.0,3.0,UMBS,129893119.0,2050-03-01,355.0
3140X57L1,35.0,3.499,319.0,2.5,UMBS,170102385.1,2050-01-01,354.0
3140X57C1,35.0,3.491,318.0,2.5,UMBS,169398130.4,2050-01-01,353.0
